name,binaryflag,mass,radius,period,semimajoraxis,eccentricity,periastron,longitude,ascendingnode,inclination,temperature,age,discoverymethod,discoveryyear,lastupdate,system_rightascension,system_declination,system_distance,hoststar_mass,hoststar_radius,hoststar_metallicity,hoststar_temperature,hoststar_age,list
KOI-1060 b,0,,0.18408,12.109950000000,0.1120000,,,,,,979.0,,,,,19 32 20,+41 08 07,1382.80,1.2700,1.2400,,6678.00,0.4600,Kepler Objects of Interest
KOI-1060 c,0,,0.13032,4.757896000000,0.0600000,,,,,,1337.0,,,,,19 32 20,+41 08 07,1382.80,1.2700,1.2400,,6678.00,0.4600,Kepler Objects of Interest
KOI-1060 d,0,,0.17862,20.496590000000,0.1590000,,,,,,821.0,,,,,19 32 20,+41 08 07,1382.80,1.2700,1.2400,,6678.00,0.4600,Kepler Objects of Interest
KOI-1060 e,0,,0.13305,8.193800000000,0.0860000,,,,,,1117.0,,,,,19 32 20,+41 08 07,1382.80,1.2700,1.2400,,6678.00,0.4600,Kepler Objects of Interest
KOI-1990 b,0,,0.21780,24.757240000000,0.1700000,,,,,,642.0,,,,,19 35 31,+49 40 59,964.50,1.0650,0.9700,,6103.00,0.3000,Kepler Objects of Interest
KOI-4062 b,0,,0.26792,3.058966008000,0.0410698,,,,,,1435.0,,,,,19 15 38,+50 09 46,958.52,,1.1160,-0.3200,6238.00,,Kepler Objects of Interest
KOI-4325 b,0,,0.11574,0.609944000000,0.0140636,,,,,,2070.0,,,,,19 21 34,+43 26 25,,,0.8960,,,,Kepler Objects of Interest
KOI-2370 b,0,,0.51944,78.727600000000,0.3940000,,,,,,583.0,,,,,19 50 13,+40 32 28,927.22,1.3100,1.5300,,6710.00,2.1400,Kepler Objects of Interest
KOI-3728 b,0,,1.87002,5.546082787000,0.0779340,,,,,,2336.0,,,,,19 11 13,+43 11 19,2081.72,,4.0370,-0.0800,7358.00,,Kepler Objects of Interest
KOI-1112 b,0,,0.19502,37.810620000000,0.2250000,,,,,,569.0,,,,,19 19 06,+38 15 44,1071.23,1.0600,1.0100,,6099.00,1.7000,Kepler Objects of Interest
KOI-1932 b,0,,0.47388,22.824850000000,0.2010000,,,,,,1361.0,,,,,19 43 44,+40 18 02,1905.13,2.0900,2.8300,,8229.00,0.8000,Kepler Objects of Interest
KOI-1932 c,0,,0.40334,14.844509820000,0.1501130,,,,,,1673.0,,,,,19 43 44,+40 18 02,1905.13,2.0900,2.8300,,8229.00,0.8000,Kepler Objects of Interest
KOI-3344 b,0,,0.13943,11.604591250000,0.0929068,,,,,,784.0,,,,,19 18 39,+50 01 12,1113.12,,0.8480,-0.6600,5881.00,,Kepler Objects of Interest
KOI-3344 c,0,,0.12211,3.638955290000,0.0428824,,,,,,1154.0,,,,,19 18 39,+50 01 12,1113.12,,0.8480,-0.6600,5881.00,,Kepler Objects of Interest
KOI-1804 b,0,,0.53767,5.907393000000,0.0580000,,,,,,783.0,,,,,19 20 37,+48 49 08,824.32,0.7330,0.7300,,5008.00,13.5000,Kepler Objects of Interest
KOI-4295 b,0,,0.20222,13.399303500000,0.1187020,,,,,,889.0,,,,,19 11 03,+43 16 27,1572.54,,1.1710,0.0700,6418.00,,Kepler Objects of Interest
KOI-0671 b,0,,0.13032,4.228677000000,0.0510000,,,,,,1126.0,,,,,19 35 33,+42 31 40,630.20,0.9630,0.9720,,5845.00,,Kepler Objects of Interest
KOI-0671 c,0,,0.11209,7.466408000000,0.0740000,,,,,,934.0,,,,,19 35 33,+42 31 40,630.20,0.9630,0.9720,,5845.00,,Kepler Objects of Interest
KOI-0671 d,0,,0.13214,16.259340000000,0.1240000,,,,,,722.0,,,,,19 35 33,+42 31 40,630.20,0.9630,0.9720,,5845.00,,Kepler Objects of Interest
KOI-0671 e,0,,0.10662,11.131540000000,0.0960000,,,,,,820.0,,,,,19 35 33,+42 31 40,630.20,0.9630,0.9720,,5845.00,,Kepler Objects of Interest
KOI-4037 b,0,,0.24423,215.967824000000,0.7456860,,,,,,387.0,,,,,20 03 46,+44 09 52,720.34,,1.3440,-0.2000,6532.00,,Kepler Objects of Interest
KOI-4661 b,0,,0.07199,8.617466920000,0.0720544,,,,,,667.8,,,,,19 29 51,+41 17 56,506.06,,0.6570,-0.5400,5013.00,,Kepler Objects of Interest
KOI-5485 b,0,,1.76793,9.358933800000,0.1013140,,,,,,1529.0,,,,,20 03 32,+44 04 52,10579.85,,4.5210,-0.2400,5188.00,,Kepler Objects of Interest
KOI-3320 b,0,,1.97042,85.062410820000,0.3688600,,,,,,354.9,,,,,19 25 42,+42 09 50,1250.53,,0.8750,0.3400,5223.00,,Kepler Objects of Interest
KOI-0111 b,0,,0.19502,11.427512000000,0.0920000,,,,,,801.0,,,,,19 10 25,+42 10 00,338.49,0.8070,0.9300,,5711.00,12.9000,Kepler Objects of Interest
KOI-0111 c,0,,0.18682,23.668340000000,0.1500000,,,,,,627.0,,,,,19 10 25,+42 10 00,338.49,0.8070,0.9300,,5711.00,12.9000,Kepler Objects of Interest
KOI-0111 d,0,,0.21507,51.756270000000,0.2530000,,,,,,483.0,,,,,19 10 25,+42 10 00,338.49,0.8070,0.9300,,5711.00,12.9000,Kepler Objects of Interest
KOI-5309 b,0,,0.19411,141.005828000000,0.4869500,,,,,,327.0,,,,,19 55 55,+42 04 57,879.98,,0.8850,-0.3200,5501.00,,Kepler Objects of Interest
KOI-1534 b,0,,0.14945,20.422260000000,0.1540000,,,,,,762.0,,,,,19 20 21,+39 49 01,765.88,1.1600,1.1200,,6401.00,0.8500,Kepler Objects of Interest
KOI-1534 c,0,,0.08657,7.638610000000,0.0800000,,,,,,1058.0,,,,,19 20 21,+39 49 01,765.88,1.1600,1.1200,,6401.00,0.8500,Kepler Objects of Interest
KOI-0279 b,0,,0.46476,28.454899000000,0.1930000,,,,,,737.0,,,,,19 41 56,+51 00 48,395.65,1.1800,1.3100,,6418.00,2.8700,Kepler Objects of Interest
